file_name,transcription
2967602.wav,"Alô, boa tarde. Boa tarde. Fala com o senhor Clóvis Gentili. Sim, Clóvis, me chamo Beatriz. Fala pra todos. Tudo bem? Tudo bem? Que bom! Você gostaria de falar com o senhor? O senhor seria o responsável da CGC atacadista, né? É bem rápido meu contato, senhor Clóvis, eu preciso só fazer um acompanhamento pra saber como tá a experiência e a satisfação de vocês. Esse acompanhamento dura dois minutinhos no máximo. É feito pelo método de NPS. Tudo bem, tudo bem. Tá. O senhor vai avaliar somente de 0A10A marca Totem. Alguns pontos que eu vou perguntar. Tá. Vou confirmar o CNPJ. CNPJ 19 705 oito três zero 1000 contra quatro dois Ok. Ok. Obrigada pela confirmação, senhor Clóvis. Numa escala de 0 a 10, qual a probabilidade do senhor recomendar a TOTVS a um amigo ou colega hoje? Tem algum comentário que o senhor gostaria de deixar sobre a nota? Não. Então, para a gente aprofundar um pouco mais na melhoria, agora eu vou falar os pontos específicos e peço que o senhor avalie também somente de 0 a 10, caso tenha contato. Tá falando do suporte técnico. Como o senhor avalia a agilidade nos processos do suporte hoje demorado de 0 a 10? Quanto? Zero cinco Tá falando em relação ao atendimento dos agentes do suporte em geral, né? Oito Falando em relação ao comercial, o atendimento do executivo de vendas de vocês. Oito Falando dos custos e valores dos produtos contratados. Sete Atendimento do financeiro referente a boletos e negociações, caso precisem. Um ponto que não precisamos colocar hoje a satisfação com a implantação do software Esteve na implantação? Sim. Como foi De 0 a 10? Oito. Tá, hoje o sistema. Ele entrega o benefício que vocês precisam. Entrega totalmente, parcialmente ou não entrega? Parcialmente. Como foi a experiência do senhor com a atualização do software Zera também? Caso tenha atualizado? Sete. Sete Para a gente finalizar, peço que o senhor avalie também de zero a dez o atendimento realizado pela Totus Unidade responsável por vocês do Mato Grosso. O senhor tem contato? Sete Essas as perguntas, senhor Clóvis. O senhor tem algum comentário final? Mais algum ponto? Não, não tá. Esse acompanhamento ele ocorre num período de seis meses a um ano. Tá. Então, passando o período, retornaremos o contato. Tudo bem? Tudo bem, Obrigado. Eu agradeço. Tenha uma ótima tarde. Tchau Tchau. Tchau. Tchau."
2967344.wav,"Plastico Lojas BR. Boa tarde! Boa tarde. Meu nome é Viviane e eu falo aqui da matriz. Tudo bem? Tudo. Eu gostaria, por favor, de falar com o Geovani Queiroga. Ele não se encontra certo se teria algum outro responsável pelo sistema da TOTVS ou seria somente ele e só ele mesmo? Entendi. Eu consigo falar com ele em qual horário? Deixa eu falar aqui com o Juliano Só um instante, tá?"
2967631.wav,"Eu tenho o Bourbon. Lorena, boa tarde. Boa tarde. Meu nome é Lilia, eu falo da TOTVS. Eu gostaria de falar na controladoria um minuto. Obrigada. Eu sei que o Rio Hotel by Bourbon Maringá traz toda a qualidade. Controladoria Mariele boa tarde. Oi Mariele, boa tarde. Meu nome é Lilia, eu falo da TOTVS. Tudo bem? Tudo bem com você? Que ótimo! Tudo bem? Eu sou do departamento Voz do Cliente da Totvs Matriz. Estou entrando em contato para fazer o NPS e uma avaliação geral. Estou ligando para todas as redes de hotéis. A senhora é uma das responsáveis da Controladoria? Sim, sou a controller do hotel. Ótimo. Tem dois minutos? Sim. Ok, só vou confirmar algumas informações final do CNPJ e o 1007 que eu estou ligando, correto? E o e-mail da senhora é Mariele arroba com.br. Isso mesmo. Isso tá certo. Iniciando as perguntas que a senhora não souber, só pular já te deixa em branco, porque a gente sabe que tem a matriz que fala mais com a gente, tá correto? De uma escala de 0 a 10, qual a probabilidade da senhora recomendar a Lótus a alguém hoje? No geral? Um seis seis Suporte técnico Uma nota para a agilidade nos processos. Sete. Sete E o atendimento tem sido os agentes do suporte. Oito. Oito Tem contato com o comercial? Não. Contato com a administrativo financeiro? Não. Também não consegue avaliar os custos e os valores dos produtos contratados neste hotel. Na verdade, eu não tenho parâmetro para comparar, já que a negociação é feita via rede. E qual nota a senhora daria então? Olha, como eu não tenho parâmetro, eu não sei dizer. Sim, eu entendi que a senhora tinha. Não, não, eu não tenho parâmetro. Então eu não sei dizer se tá dentro, tá fora. Tá bom. Se não tá, tá, Eu entendi errado Pra próxima pergunta, se a senhora participou da implantação, qual a nota daria pro processo todo da implantação? A Eu daria nove. Nove Mais três perguntas. O programa que vocês estão usando atende a necessidade da empresa? Total Atende parcial ou não atende? Eu tenho uma reclamação. Só tenho que fazer assim. Eu posso fazer um adendo? Não pode fazer. Pode fazer. Eu tenho reclamação em relação ao fiscal Flex. Eu acho que ele deixa muito a desejar. Fiscal Flex. Não é a primeira vez que eu to ouvindo essa reclamação dos hotéis. Fiscal Flex Qual é o problema? Eu acho que ele ainda. Eu acho que não só a questão do suporte. Eu acho que falta desenvolvimento dessa ferramenta. Eu acho que ele não tá acompanhando o mercado fiscal, né? O mercado da. O fiscal do país, né? Ele deixa muito a desejar. Ele tem muitas falhas, ele tem muitos erros. Eu tenho muito problema nesse módulo. Ok Ah tá. Os demais módulos assim tem algumas falhas, mas aí eu não sei se muito entra. Eu já trabalhei em outras redes que tinham o suporte da Totvs dentro das redes, então eu acho que eram melhores assistidos aqui na Bourbon. Eu acho que falta um pouco de assistência. Tá. Certo. E qual opção eu coloco? Total Intermediária? Parcial? Parcial, certo? E atualização Quando geram as atualizações? Quando lançam as novas atualizações? Uma nota também de 0 a 10. Quando gera as atualizações? Eu acho que seis, porque geralmente gera atualizações e da muito erro, gera um erro. E a última pergunta para avaliar a unidade Totvs MS Soluções. Também de 0 a 10. Isso ai. Eu acho que de modo geral um sete, porque ainda dos pelo menos dos sistemas que eu trabalhei na hotelaria, eu ainda prefiro a Totvs. Certo? Pesquisa finalizada, o que a senhora poderia passar pra gente pra poder mudar sua satisfação. Se tem algum problema específico ou alguma necessidade. Bem, hoje o meu problema principal eu vejo na questão do fiscal flex. Eu acho que ele deixa muito a desejar. Eu acho que ele poderia ser melhorado e eu também tenho aqui ele eu mudou nosso novembro em setembro do ano passado, mudou a nossa geração de notas da prefeitura aqui de Maringá e a gente tá com um novo sistema que vocês ainda estão ajudando na implantação. E ele tá muito lento o desenvolvimento dessa ferramenta de nota fiscal e a gente ainda tá muito com muitos problemas. Hoje eu não consigo saber, por exemplo, se eu estou sonegando imposto, se eu tenho nota cancelada, se geraram todas as minhas notas, Então isso é uma questão que tá me preocupando bastante E toda vez que eu trato isso com o meu TI sempre tá em desenvolvimento, na pós, está em desenvolvimento na Totvs e eu não tenho uma solução rápida. Isso tá desde setembro, desde setembro e a senhora tá sem acesso às informações fiscais? Eu tenho as informações, só que eu não tenho 100% de certeza se elas estão corretas ou não. Ah, tá. Porque ela tá em desenvolvimento. Deixa eu até ver aqui o nome que é o processo de implantação. Isso? Tem. Deixa eu ver aqui. Pode passar. Deixa eu ver como que é o nome dele aqui. Deixa eu abrir que eu não sei o nome dele certinho. O Tá naquele eu não sei se é tá Doc Fiscal Brasil que é da tá como Totvs Hospitality, né? Aí Doc Fiscal Brasil. Tá, tem o número do chamado. Ah, isso aí é com o meu. Tá com o nosso. Tá com o meu. Aham, tá. E por que que acontece agora? Eu ia te perguntar A senhora quer um retorno desse? Quer um feedback desse, dessa avaliação e desses dois pontos? Porque daí vou entrar em contato com a senhora que se tiver o número do chamado, facilita pra poder solucionar, Entendeu? Olha, se pudesse me ajudaria assim, mas também se não tiver. Mas assim, essa questão da nota para mim é primordial, porque assim a questão do fiscal flex eu vou falar. Eu trabalho na controladoria a mais de dez anos e a maior reclamação é fiscal flex, então a gente reclama, reclama, não resolve. Mas essa questão da nota, eu gostaria de um feedback da nota. A senhora gostaria do feedback? Tá, e esse não tem número do chamado porque tá com meu T.I. Tá, tá, não tem problema não. Ele procura aqui, ok? Certinho. Então, algo mais acrescentado, só isso. Mas de modo geral assim o pessoal é atencioso, eles ajudam, tá? Não tenho o que reclamar da Totvs, é um problema com o programa mesmo que precisa isso sem problema. Vamos entrar em contato no máximo sete dias, tá bom? Agora aqui da voz do cliente a gente entra em contato só o ano que vem, Tá certo? Muito obrigada, Marielle. Ótimo, você também. Tchau."
2965935.wav,"Alô, Alô, Bom dia. Leandro Eu novamente. Tudo bem? Oi, tudo bem? Agora sim, eu posso falar. Ai, que bom! É rapidinho, são só dois minutos e a avaliação NPS da TOTVS, tá? Só vou confirmar o final do CNPJ se eu tô ligando pra empresa correta da Conab e o 1000 contra 13 confirma isso, Confirma, ok. Iniciando de uma escala de 0 a 10, qual a probabilidade do senhor recomendar a marca Totvs a alguém hoje No geral? Nove. Nove Suporte técnico Uma nota para a agilidade nos processos. Faz muito tempo que não uso funções. Vou ter que dar um seis. Atendimento do Comercial Executivo de Vendas sete. Sete Com relação aos custos e os valores. Dessa vez. Cinco. Cinco Atendimento administrativo e financeiro. Tem como não opinar porque eu não usei faz muitos anos? Tem sim. Deixa em branco. Mais três perguntas. O programa que vocês estão usando atende a necessidade da empresa Total? Atende parcial ou não atende? Atende? Total Total Uma nota para as atualizações e atualizações. A essa eu vou dar um cinco. Quer comentar? Sim. Porque normalmente o primeiro porque ela já tem muita atualização que está funcionando fora do controle do analista e isso é um problema para o analista. Existem atualizações que estão funcionando ou se atualizando fora do controle do analista, Entendeu? Isso é um problema gravíssimo, porque a gente perde o controle do que está fazendo e do que está realmente aplicado no sistema. E a segunda, porque ainda acontecem casos de atualizações acabarem prejudicando outras ou outras rotinas mesmo, mesmo rotinas, padrões, sem customização. Então, por isso a nota cinco. É sempre certa. E nota cinco A última pergunta para avaliar a unidade. Nota O Serra Gaúcha tem contato com eles. Só com o executivo de vendas. O resto do pessoal nem fala com eles, não. Então tá bom. O executivo de vendas já deu nota e gostaria de deixar algum outro comentário, sugestão ou reclamação? Não, não. O resto tá ótimo. Então vou confirmar só o email também. Informática arroba Ponto br. Isso. Isso mesmo. Tá bom. Obrigada, viu, seu Leandro? Eu que agradeço pela lembrança. Imagina o ano que vem a gente retorna o contato novamente. Tenha uma ótima tarde, Ótima sexta. Tchau, Tchau. Obrigado igualmente. Bom final de semana."
2965979.wav,"Edson Paulista. João Paulo. Bom dia. Bom dia! Meu nome é Lilia, eu falo da TOTVS. Eu tô ligando pra rede de hotéis e eu preciso. Primeiro eu preciso confirmar se eu tô ligando, certo? Eu tô ligando para o condomínio Edifício Paulista Capital Plaza Sim, isso mesmo, certo? Eu precisava falar com algum gerente geral ou com a Controladoria, tá? Pois não sou estudante, tá? Obrigada. Controladoria Sheila, bom dia. Oi Sheila, bom dia! Meu nome é Lilia, eu falo da empresa TOTVS. Tudo bem? Tudo bem? Você tudo bem? Graças a Deus eu tô ligando no departamento Voz do Cliente pra fazer o NPS, que é uma avaliação geral e anual. Tô To ligando pra todas as redes de hotéis. A senhora tem dois minutos? Sim. Ok, só vou confirmar algumas informações. O final do CNPJ é o 1000 contra 49, isso não. Ai não é um 49 em nome de condomínio. Isso é que a gente tem dois CNPJs, certo? Senhora, responde por esse condomínio também tá ótimo. O e-mail é controller ponto rpa arroba hotels.com ponto br. Sheila Coutinho. Correto. Ok, iniciando às que a senhora não souber, só pular, porque a gente sabe que é mais a matriz que entra em contato, tá ok. De uma escala de 0 a 10, qual a probabilidade da senhora recomendar a marca a alguém hoje? No geral, dez Suporte técnico tem contato sim. Uma nota para a agilidade nos processos dos tickets. Nove. Nove O atendimento em si dos agentes dez. Atendimento do Comercial Tem contato não eh? Consegue avaliar os custos e os valores dos produtos contratados no hotel? Sim, Uma nota nove. Nove. Tem contato com administrativo financeiro? Raramente uma nota ou pula pula. Mais três perguntas. Não mais quatro. Implantação Se a senhora participou do processo, uma nota nove. Nove O sistema Hoje ele está atendendo a necessidade da empresa total atendendo parcial ou não. Atende Total Total. Uma nota para as atualizações dez e última pergunta para avaliar a unidade total do CM Soluções dez. Dez Gostaria de deixar algum comentário Sugestão? Reclamação? Não. Não. Qual é o outro final do CNPJ que a senhora também responde para eu dar baixa? 0101861018 Vou procurar aqui. Esse é o hotel né? Isso responde pelos dois. Isso tá bom. Obrigada Sheila. O ano que vem ele te liga de novo pra saber como que está Tá bom, Tá perfeito. Ótima tarde, Ótimo dia, igualmente. Tchau."
2966683.wav,"Hot Hot. Beth, obrigado por ligar para o Hot Beach Resort. Para falar em reservas, disque um, departamento administrativo Disque dois Departamento de Compras Disque três ou aguarde para ser atendido na hora. Para toda a família e para todas as idades, chegou o Hot Beach Olímpia. Para quem quer muita diversão e tranquilidade. Recepção Elisângela. Bom dia, Elisângela. Bom dia Lilia da empresa TOTVS falando Eu gostaria de falar no administrativo financeiro ou com o gerente é da TOTVS? Vou transferir para o financeiro. Obrigada. Nada Tchau, tchau. Tchau, tchau. Financeiro Letícia Bom dia. Bom dia, Letícia. Meu nome é Lilia. Eu falo da Totvs. Tudo bem? Tudo ótimo. Eu precisava falar com algum gerente ao coordenador ou supervisor para fazer uma avaliação. Você pode estar ligando daqui uns 20 minutinhos, certo? Retorno Aí eu falo com quem? Com Pedro. Tá bom? Obrigada, Letícia. Tchau, tchau."
2966651.wav,"Alô, Alô, Bom dia. Da empresa Totus falando, eu falo com Felipe. Bom dia. Ele mesmo. Tudo bem? Bem. Que ótimo, senhor Felipe. Tudo bem, Graças a Deus. O senhor é o do Condomínio Resort e eu trabalho aqui no corporativo. Mas o que que seria? Tá, eu sou o Totó. Eu tô ligando pra fazer o NPS, que é uma avaliação geral. Eu tô ligando pra todos os condomínios e os resorts e os hotéis. E aí eu precisava falar com alguém responsável de cada CNPJ que eu tô ligando. Nesse caso, eu tô ligando para condomínio Beach Resort. E aí eu precisava localizar alguém responsável, gerente ou controller controladoria. E aqui acho que te passaram por corporativo. Aqui a gente cuida mais da administração dos outros, mas quem trabalha realmente no local não é a gente. Quer que eu te passo o número de lá? Por gentileza, Um minutinho. Qual condomínio você quer mesmo? É do condomínio Hot Beach Resort Olímpia. O final do CNPJ 1000 contra 45. Só um minutinho. Pode falar o número? Pode falar é 17 DDD 387 938 797 1000. Aí você pode falar que quer falar com alguém do administrativo ou do financeiro que eles vão entender. ADM ou financeira. Aproveitando, então o senhor tem o contato também do condomínio Suítes Olímpia ou do condomínio Hotel Piquiri? Eu não sei se é com vocês. O do Sweets eu tenho agora esse outro. Acho que não é da gente, não. Ah, tá. Peraí, deixa eu pegar aqui. Eu Tipo. Tipo assim, invertido. Na verdade, isso que eu te passei antes e o do Sweets eu vou te passar agora, o do resort que você pediu primeiro. Pode ser? Tá, pode ser Só deixa eu por no outro. Pode falar. O do resort é 3279773279. Isso 13 zero zero 13 zero zero. É a mesma coisa. Fala que você quer falar com alguém do administrativo ou financeiro? Beleza, então. Obrigada então pela atenção, viu? Nada. Tenha um ótimo dia. Tchau, Tchau."
2967576.wav,"Bem vindo ao Bourbon Curitiba Hotel e Suítes. Para falar com reservas, digite um. Vendas e Comercial Digite dois. Financeiro e Administração Digite três. Recepção Digite quatro ou aguarde para ser atendido. Aguarde. A Bourbon Curitiba Convention Hotel Conosco A maneira brasileira de alojar. Controladoria Alessandra. Oi, Alessandra, Bom dia. Boa tarde. Oi, boa tarde! Tudo bem? Meu nome é Lilia, eu falo da Totia. Tudo bem? Você Tudo certo. E certo, eu precisava falar com alguém responsável pela Controladoria ou algum gerente para fazer uma avaliação aqui da Totvs. Eu estou ligando para todas as redes de hotéis para fazer uma avaliação. Uhum. Era isso. Só aguarda um momento, por favor. Chegou. Eu não sei por qual parcela. Bom, vamos lá. Rodrigo, gostaria de conversar com. Você. Só um momento, ok. Gracias por amar a Bourbon Curitiba Convention Hotel conosco à maneira brasileira de alojar. Oi, boa tarde, Lilia, da Totvs, Com quem eu falo? Com Marco? Tudo bem, Marco? Tudo bem contigo? Tudo bem. Eu sou do departamento, Voz do cliente da Matriz. Estou entrando em contato com todas as redes de hotéis para fazer uma avaliação. E o NPS da Totvs. O senhor seria um dos responsáveis? Quem pode responder? Eu sou responsável pela Controladoria. Seria uma avaliação geral? Não pode ser. Na verdade, eu tô fazendo com a maioria, com os controllers dos hotéis. Tem dois minutos? Sim, tenho. Ok, só vou confirmar o final do CNPJ para ver se é esse mesmo e o 1000 contra 17. Perfeito. Ok senhor, responde por outros. Além desses, só esse, Tá iniciando então. De uma escala de 0 a 10, qual a probabilidade do senhor recomendar a marca Totus alguém hoje? No geral? Nove. Nove As demais perguntas Se não conseguir responder. A gente sabe que é sempre a matriz que fala mais com a gente. É só pular. Suporte técnico Uma nota para a agilidade nos processos, que é direto com a matriz que faz as chamadas e consegue avaliar a satisfação com os custos e os valores dos produtos desse hotel. Oito oito. Tem contato com a administrativa e financeiro? Sim. Uma nota. Nove. Tem contato com o comercial Executivo de vendas? Não. Pode pular mais três perguntas. Não mais quatro perguntas. Implantação Se o senhor participou uma nota Já participei da implantação. Nas que eu participei oito. Oito Mais três perguntas. O programa que vocês estão usando atende a necessidade da empresa total atende parcial ou não atende aos modos que nós utilizamos hoje. Isso no hotel atende Total, Parcial, Total, total. Uma nota para as atualizações oito. Oito e a última pergunta para avaliar a unidade total de soluções. Desculpa a pergunta. Para avaliar a unidade totos cm net Soluções que presta serviço para os hotéis Tem contato? Não, não ta bem. Gostaria de comentar, deixar alguma reclamação ou sugestão? No momento não. Também não. Certinho? Então é isso, é só confirmando que deixa eu ver se localiza seus dados e Marco. Marco. Marco Não localizei. Me confirma só seu e-mail. Campos arroba com.br Ok. Da Controladoria certinho. Então, de seis meses a um ano a gente volta a ligar para saber se está tudo bem e manter o relacionamento. Obrigada, Marco, Ótima tarde. Tchau."
2967409.wav,"Olá! Você ligou para a Central de Atendimento da Cactus? Seja muito bem vindo! Informamos que a Cactus não entra em contato com os clientes solicitando atualização cadastral. Fique atento à segurança dos seus dados. Você sabia que você também pode ser atendido pelo WhatsApp da Cactus? Entre em contato através do número 11 39 zero zero 29 80 e ganhe tempo no seu atendimento. Se você já é nosso cliente e quer falar sobre operações de PLR, digite um. Se você já é nosso cliente e quer falar sobre conta digital, digite dois. Se você ainda não é nosso cliente, digite três. Para outros assuntos, digite quatro. Carlos, boa tarde, me chamo Gabriela com quem falo. Boa tarde Gabriela, meu nome é Viviane, eu falo aqui da matriz. Tudo bem? Tudo bem? Eu gostaria, por favor, de falar com Keila. Então a senhora ligou na Central de Atendimento da Cartos? Sim, foi esse o telefone que me passaram para falar com a Keyla Regina, do Administrativo. Não. Então aqui é a Central de Atendimento da Cartos. Aqui é assim com. Entendi. Você teria algum telefone dela para poder me passar? Não teria? Tá bom? Obrigada."
2964398.wav,"Natália, boa tarde. Boa tarde Natália e Linda. Tudo o senhor William se encontra sim. Só um minutinho. Obrigada. Como é o seu dia? Tem estilo? Tem. No escritório, a companhia é com uniformes com qualidade e cobertos com design e exclusividade. Não importa a sua produção. Oi, bom dia! Boa tarde Lilia da Totvs eu falo com William Tudo bem? Tudo, Tudo bem? Que ótimo o senhor William. Sou do departamento Voz do Cliente da Totvs. Estou entrando em contato para fazer o NPS, que é uma avaliação geral anual. O senhor tem dois minutos? Pode. Posso? Pode. Pode. Pode ser? Pode. Pode ser. Tá bem. Só vou confirmar algumas informações. Empresa com BEC Indústria e Comércio de Confecções, final do CNPJ 1000 contra 18 e o e-mail William arroba COM.BR Isso, isso, ok. Iniciando de uma escala de 0 a 10, qual a probabilidade do senhor recomendar a marca a alguém hoje? No geral? Dez. Suporte técnico Uma nota para a agilidade nos processos também. Dez. Dez E o atendimento em si dos agentes também é muito bom. E atendimento do executivo de vendas comercial? Esse eu tenho menos contato, então não sei te dizer hoje porque eu praticamente não uso. Mas quando eu precisei sempre foi muito bom, tá? Então também pode colocar dessa. Não é mais a mesma pessoa que me atende, mas que a anterior era era muito bom. Ah, tá. E o senhor prefere dar nota dez mesmo ou pular? Pode ser sim. Não pode botar porque tá bom. Ah, com relação aos custos e os valores, esse dói um pouco, Eu diria um oito é bom, mas é pesado. Uhum. Ok. Nota oito. Atendimento da administrativa e financeiro. Esse eu prefiro pular porque eu nunca tive contato assim com essa parte. Certo, Mais três perguntas. O programa que vocês estão usando atende a necessidade da empresa total ou parcial ou não atende? Atende total? Total Uma nota para as atualizações a dez também que vem dez. Isso é a última pergunta pra avaliar a unidade total. O Serra Gaúcha também. Também nota dez. Muito bom, certo? Gostaria de comentar, deixar alguma sugestão? Reclamação? Elogio? Não. Tudo. Tudo em ordem com vocês. Aí tudo certo? Então tá bom? Então continue assim. Obrigada senhor Willian pela atenção. Ano que vem retorna o contato de novo, tá? Tenha uma ótima tarde. Tchau, tchau. Tchau. Tchau."
