file_name,transcription
2967602.wav,"alô, boa tarde. boa tarde. fala com o senhor clóvis gentili. sim, clóvis, me chamo beatriz. fala pra todos. tudo bem? tudo bem? que bom! você gostaria de falar com o senhor? o senhor seria o responsável da cgc atacadista, né? é bem rápido meu contato, senhor clóvis, eu preciso só fazer um acompanhamento pra saber como tá a experiência e a satisfação de vocês. esse acompanhamento dura dois minutinhos no máximo. é feito pelo método de nps. tudo bem, tudo bem. tá. o senhor vai avaliar somente de 0a10a marca totem. alguns pontos que eu vou perguntar. tá. vou confirmar o cnpj. cnpj 19 705 oito três zero 1000 contra quatro dois ok. ok. obrigada pela confirmação, senhor clóvis. numa escala de 0 a 10, qual a probabilidade do senhor recomendar a totvs a um amigo ou colega hoje? tem algum comentário que o senhor gostaria de deixar sobre a nota? não. então, para a gente aprofundar um pouco mais na melhoria, agora eu vou falar os pontos específicos e peço que o senhor avalie também somente de 0 a 10, caso tenha contato. tá falando do suporte técnico. como o senhor avalia a agilidade nos processos do suporte hoje demorado de 0 a 10? quanto? zero cinco tá falando em relação ao atendimento dos agentes do suporte em geral, né? oito falando em relação ao comercial, o atendimento do executivo de vendas de vocês. oito falando dos custos e valores dos produtos contratados. sete atendimento do financeiro referente a boletos e negociações, caso precisem. um ponto que não precisamos colocar hoje a satisfação com a implantação do software esteve na implantação? sim. como foi de 0 a 10? oito. tá, hoje o sistema. ele entrega o benefício que vocês precisam. entrega totalmente, parcialmente ou não entrega? parcialmente. como foi a experiência do senhor com a atualização do software zera também? caso tenha atualizado? sete. sete para a gente finalizar, peço que o senhor avalie também de zero a dez o atendimento realizado pela totus unidade responsável por vocês do mato grosso. o senhor tem contato? sete essas as perguntas, senhor clóvis. o senhor tem algum comentário final? mais algum ponto? não, não tá. esse acompanhamento ele ocorre num período de seis meses a um ano. tá. então, passando o período, retornaremos o contato. tudo bem? tudo bem, obrigado. eu agradeço. tenha uma ótima tarde. tchau tchau. tchau. tchau."
2967344.wav,"plastico lojas br. boa tarde! boa tarde. meu nome é viviane e eu falo aqui da matriz. tudo bem? tudo. eu gostaria, por favor, de falar com o geovani queiroga. ele não se encontra certo se teria algum outro responsável pelo sistema da totvs ou seria somente ele e só ele mesmo? entendi. eu consigo falar com ele em qual horário? deixa eu falar aqui com o juliano só um instante, tá?"
2967631.wav,"eu tenho o bourbon. lorena, boa tarde. boa tarde. meu nome é lilia, eu falo da totvs. eu gostaria de falar na controladoria um minuto. obrigada. eu sei que o rio hotel by bourbon maringá traz toda a qualidade. controladoria mariele boa tarde. oi mariele, boa tarde. meu nome é lilia, eu falo da totvs. tudo bem? tudo bem com você? que ótimo! tudo bem? eu sou do departamento voz do cliente da totvs matriz. estou entrando em contato para fazer o nps e uma avaliação geral. estou ligando para todas as redes de hotéis. a senhora é uma das responsáveis da controladoria? sim, sou a controller do hotel. ótimo. tem dois minutos? sim. ok, só vou confirmar algumas informações final do cnpj e o 1007 que eu estou ligando, correto? e o e-mail da senhora é mariele arroba com.br. isso mesmo. isso tá certo. iniciando as perguntas que a senhora não souber, só pular já te deixa em branco, porque a gente sabe que tem a matriz que fala mais com a gente, tá correto? de uma escala de 0 a 10, qual a probabilidade da senhora recomendar a lótus a alguém hoje? no geral? um seis seis suporte técnico uma nota para a agilidade nos processos. sete. sete e o atendimento tem sido os agentes do suporte. oito. oito tem contato com o comercial? não. contato com a administrativo financeiro? não. também não consegue avaliar os custos e os valores dos produtos contratados neste hotel. na verdade, eu não tenho parâmetro para comparar, já que a negociação é feita via rede. e qual nota a senhora daria então? olha, como eu não tenho parâmetro, eu não sei dizer. sim, eu entendi que a senhora tinha. não, não, eu não tenho parâmetro. então eu não sei dizer se tá dentro, tá fora. tá bom. se não tá, tá, eu entendi errado pra próxima pergunta, se a senhora participou da implantação, qual a nota daria pro processo todo da implantação? a eu daria nove. nove mais três perguntas. o programa que vocês estão usando atende a necessidade da empresa? total atende parcial ou não atende? eu tenho uma reclamação. só tenho que fazer assim. eu posso fazer um adendo? não pode fazer. pode fazer. eu tenho reclamação em relação ao fiscal flex. eu acho que ele deixa muito a desejar. fiscal flex. não é a primeira vez que eu to ouvindo essa reclamação dos hotéis. fiscal flex qual é o problema? eu acho que ele ainda. eu acho que não só a questão do suporte. eu acho que falta desenvolvimento dessa ferramenta. eu acho que ele não tá acompanhando o mercado fiscal, né? o mercado da. o fiscal do país, né? ele deixa muito a desejar. ele tem muitas falhas, ele tem muitos erros. eu tenho muito problema nesse módulo. ok ah tá. os demais módulos assim tem algumas falhas, mas aí eu não sei se muito entra. eu já trabalhei em outras redes que tinham o suporte da totvs dentro das redes, então eu acho que eram melhores assistidos aqui na bourbon. eu acho que falta um pouco de assistência. tá. certo. e qual opção eu coloco? total intermediária? parcial? parcial, certo? e atualização quando geram as atualizações? quando lançam as novas atualizações? uma nota também de 0 a 10. quando gera as atualizações? eu acho que seis, porque geralmente gera atualizações e da muito erro, gera um erro. e a última pergunta para avaliar a unidade totvs ms soluções. também de 0 a 10. isso ai. eu acho que de modo geral um sete, porque ainda dos pelo menos dos sistemas que eu trabalhei na hotelaria, eu ainda prefiro a totvs. certo? pesquisa finalizada, o que a senhora poderia passar pra gente pra poder mudar sua satisfação. se tem algum problema específico ou alguma necessidade. bem, hoje o meu problema principal eu vejo na questão do fiscal flex. eu acho que ele deixa muito a desejar. eu acho que ele poderia ser melhorado e eu também tenho aqui ele eu mudou nosso novembro em setembro do ano passado, mudou a nossa geração de notas da prefeitura aqui de maringá e a gente tá com um novo sistema que vocês ainda estão ajudando na implantação. e ele tá muito lento o desenvolvimento dessa ferramenta de nota fiscal e a gente ainda tá muito com muitos problemas. hoje eu não consigo saber, por exemplo, se eu estou sonegando imposto, se eu tenho nota cancelada, se geraram todas as minhas notas, então isso é uma questão que tá me preocupando bastante e toda vez que eu trato isso com o meu ti sempre tá em desenvolvimento, na pós, está em desenvolvimento na totvs e eu não tenho uma solução rápida. isso tá desde setembro, desde setembro e a senhora tá sem acesso às informações fiscais? eu tenho as informações, só que eu não tenho 100% de certeza se elas estão corretas ou não. ah, tá. porque ela tá em desenvolvimento. deixa eu até ver aqui o nome que é o processo de implantação. isso? tem. deixa eu ver aqui. pode passar. deixa eu ver como que é o nome dele aqui. deixa eu abrir que eu não sei o nome dele certinho. o tá naquele eu não sei se é tá doc fiscal brasil que é da tá como totvs hospitality, né? aí doc fiscal brasil. tá, tem o número do chamado. ah, isso aí é com o meu. tá com o nosso. tá com o meu. aham, tá. e por que que acontece agora? eu ia te perguntar a senhora quer um retorno desse? quer um feedback desse, dessa avaliação e desses dois pontos? porque daí vou entrar em contato com a senhora que se tiver o número do chamado, facilita pra poder solucionar, entendeu? olha, se pudesse me ajudaria assim, mas também se não tiver. mas assim, essa questão da nota para mim é primordial, porque assim a questão do fiscal flex eu vou falar. eu trabalho na controladoria a mais de dez anos e a maior reclamação é fiscal flex, então a gente reclama, reclama, não resolve. mas essa questão da nota, eu gostaria de um feedback da nota. a senhora gostaria do feedback? tá, e esse não tem número do chamado porque tá com meu t.i. tá, tá, não tem problema não. ele procura aqui, ok? certinho. então, algo mais acrescentado, só isso. mas de modo geral assim o pessoal é atencioso, eles ajudam, tá? não tenho o que reclamar da totvs, é um problema com o programa mesmo que precisa isso sem problema. vamos entrar em contato no máximo sete dias, tá bom? agora aqui da voz do cliente a gente entra em contato só o ano que vem, tá certo? muito obrigada, marielle. ótimo, você também. tchau."
2965935.wav,"alô, alô, bom dia. leandro eu novamente. tudo bem? oi, tudo bem? agora sim, eu posso falar. ai, que bom! é rapidinho, são só dois minutos e a avaliação nps da totvs, tá? só vou confirmar o final do cnpj se eu tô ligando pra empresa correta da conab e o 1000 contra 13 confirma isso, confirma, ok. iniciando de uma escala de 0 a 10, qual a probabilidade do senhor recomendar a marca totvs a alguém hoje no geral? nove. nove suporte técnico uma nota para a agilidade nos processos. faz muito tempo que não uso funções. vou ter que dar um seis. atendimento do comercial executivo de vendas sete. sete com relação aos custos e os valores. dessa vez. cinco. cinco atendimento administrativo e financeiro. tem como não opinar porque eu não usei faz muitos anos? tem sim. deixa em branco. mais três perguntas. o programa que vocês estão usando atende a necessidade da empresa total? atende parcial ou não atende? atende? total total uma nota para as atualizações e atualizações. a essa eu vou dar um cinco. quer comentar? sim. porque normalmente o primeiro porque ela já tem muita atualização que está funcionando fora do controle do analista e isso é um problema para o analista. existem atualizações que estão funcionando ou se atualizando fora do controle do analista, entendeu? isso é um problema gravíssimo, porque a gente perde o controle do que está fazendo e do que está realmente aplicado no sistema. e a segunda, porque ainda acontecem casos de atualizações acabarem prejudicando outras ou outras rotinas mesmo, mesmo rotinas, padrões, sem customização. então, por isso a nota cinco. é sempre certa. e nota cinco a última pergunta para avaliar a unidade. nota o serra gaúcha tem contato com eles. só com o executivo de vendas. o resto do pessoal nem fala com eles, não. então tá bom. o executivo de vendas já deu nota e gostaria de deixar algum outro comentário, sugestão ou reclamação? não, não. o resto tá ótimo. então vou confirmar só o email também. informática arroba ponto br. isso. isso mesmo. tá bom. obrigada, viu, seu leandro? eu que agradeço pela lembrança. imagina o ano que vem a gente retorna o contato novamente. tenha uma ótima tarde, ótima sexta. tchau, tchau. obrigado igualmente. bom final de semana."
2965979.wav,"edson paulista. joão paulo. bom dia. bom dia! meu nome é lilia, eu falo da totvs. eu tô ligando pra rede de hotéis e eu preciso. primeiro eu preciso confirmar se eu tô ligando, certo? eu tô ligando para o condomínio edifício paulista capital plaza sim, isso mesmo, certo? eu precisava falar com algum gerente geral ou com a controladoria, tá? pois não sou estudante, tá? obrigada. controladoria sheila, bom dia. oi sheila, bom dia! meu nome é lilia, eu falo da empresa totvs. tudo bem? tudo bem? você tudo bem? graças a deus eu tô ligando no departamento voz do cliente pra fazer o nps, que é uma avaliação geral e anual. tô to ligando pra todas as redes de hotéis. a senhora tem dois minutos? sim. ok, só vou confirmar algumas informações. o final do cnpj é o 1000 contra 49, isso não. ai não é um 49 em nome de condomínio. isso é que a gente tem dois cnpjs, certo? senhora, responde por esse condomínio também tá ótimo. o e-mail é controller ponto rpa arroba hotels.com ponto br. sheila coutinho. correto. ok, iniciando às que a senhora não souber, só pular, porque a gente sabe que é mais a matriz que entra em contato, tá ok. de uma escala de 0 a 10, qual a probabilidade da senhora recomendar a marca a alguém hoje? no geral, dez suporte técnico tem contato sim. uma nota para a agilidade nos processos dos tickets. nove. nove o atendimento em si dos agentes dez. atendimento do comercial tem contato não eh? consegue avaliar os custos e os valores dos produtos contratados no hotel? sim, uma nota nove. nove. tem contato com administrativo financeiro? raramente uma nota ou pula pula. mais três perguntas. não mais quatro. implantação se a senhora participou do processo, uma nota nove. nove o sistema hoje ele está atendendo a necessidade da empresa total atendendo parcial ou não. atende total total. uma nota para as atualizações dez e última pergunta para avaliar a unidade total do cm soluções dez. dez gostaria de deixar algum comentário sugestão? reclamação? não. não. qual é o outro final do cnpj que a senhora também responde para eu dar baixa? 0101861018 vou procurar aqui. esse é o hotel né? isso responde pelos dois. isso tá bom. obrigada sheila. o ano que vem ele te liga de novo pra saber como que está tá bom, tá perfeito. ótima tarde, ótimo dia, igualmente. tchau."
2966683.wav,"hot hot. beth, obrigado por ligar para o hot beach resort. para falar em reservas, disque um, departamento administrativo disque dois departamento de compras disque três ou aguarde para ser atendido na hora. para toda a família e para todas as idades, chegou o hot beach olímpia. para quem quer muita diversão e tranquilidade. recepção elisângela. bom dia, elisângela. bom dia lilia da empresa totvs falando eu gostaria de falar no administrativo financeiro ou com o gerente é da totvs? vou transferir para o financeiro. obrigada. nada tchau, tchau. tchau, tchau. financeiro letícia bom dia. bom dia, letícia. meu nome é lilia. eu falo da totvs. tudo bem? tudo ótimo. eu precisava falar com algum gerente ao coordenador ou supervisor para fazer uma avaliação. você pode estar ligando daqui uns 20 minutinhos, certo? retorno aí eu falo com quem? com pedro. tá bom? obrigada, letícia. tchau, tchau."
2966651.wav,"alô, alô, bom dia. da empresa totus falando, eu falo com felipe. bom dia. ele mesmo. tudo bem? bem. que ótimo, senhor felipe. tudo bem, graças a deus. o senhor é o do condomínio resort e eu trabalho aqui no corporativo. mas o que que seria? tá, eu sou o totó. eu tô ligando pra fazer o nps, que é uma avaliação geral. eu tô ligando pra todos os condomínios e os resorts e os hotéis. e aí eu precisava falar com alguém responsável de cada cnpj que eu tô ligando. nesse caso, eu tô ligando para condomínio beach resort. e aí eu precisava localizar alguém responsável, gerente ou controller controladoria. e aqui acho que te passaram por corporativo. aqui a gente cuida mais da administração dos outros, mas quem trabalha realmente no local não é a gente. quer que eu te passo o número de lá? por gentileza, um minutinho. qual condomínio você quer mesmo? é do condomínio hot beach resort olímpia. o final do cnpj 1000 contra 45. só um minutinho. pode falar o número? pode falar é 17 ddd 387 938 797 1000. aí você pode falar que quer falar com alguém do administrativo ou do financeiro que eles vão entender. adm ou financeira. aproveitando, então o senhor tem o contato também do condomínio suítes olímpia ou do condomínio hotel piquiri? eu não sei se é com vocês. o do sweets eu tenho agora esse outro. acho que não é da gente, não. ah, tá. peraí, deixa eu pegar aqui. eu tipo. tipo assim, invertido. na verdade, isso que eu te passei antes e o do sweets eu vou te passar agora, o do resort que você pediu primeiro. pode ser? tá, pode ser só deixa eu por no outro. pode falar. o do resort é 3279773279. isso 13 zero zero 13 zero zero. é a mesma coisa. fala que você quer falar com alguém do administrativo ou financeiro? beleza, então. obrigada então pela atenção, viu? nada. tenha um ótimo dia. tchau, tchau."
2967576.wav,"bem vindo ao bourbon curitiba hotel e suítes. para falar com reservas, digite um. vendas e comercial digite dois. financeiro e administração digite três. recepção digite quatro ou aguarde para ser atendido. aguarde. a bourbon curitiba convention hotel conosco a maneira brasileira de alojar. controladoria alessandra. oi, alessandra, bom dia. boa tarde. oi, boa tarde! tudo bem? meu nome é lilia, eu falo da totia. tudo bem? você tudo certo. e certo, eu precisava falar com alguém responsável pela controladoria ou algum gerente para fazer uma avaliação aqui da totvs. eu estou ligando para todas as redes de hotéis para fazer uma avaliação. uhum. era isso. só aguarda um momento, por favor. chegou. eu não sei por qual parcela. bom, vamos lá. rodrigo, gostaria de conversar com. você. só um momento, ok. gracias por amar a bourbon curitiba convention hotel conosco à maneira brasileira de alojar. oi, boa tarde, lilia, da totvs, com quem eu falo? com marco? tudo bem, marco? tudo bem contigo? tudo bem. eu sou do departamento, voz do cliente da matriz. estou entrando em contato com todas as redes de hotéis para fazer uma avaliação. e o nps da totvs. o senhor seria um dos responsáveis? quem pode responder? eu sou responsável pela controladoria. seria uma avaliação geral? não pode ser. na verdade, eu tô fazendo com a maioria, com os controllers dos hotéis. tem dois minutos? sim, tenho. ok, só vou confirmar o final do cnpj para ver se é esse mesmo e o 1000 contra 17. perfeito. ok senhor, responde por outros. além desses, só esse, tá iniciando então. de uma escala de 0 a 10, qual a probabilidade do senhor recomendar a marca totus alguém hoje? no geral? nove. nove as demais perguntas se não conseguir responder. a gente sabe que é sempre a matriz que fala mais com a gente. é só pular. suporte técnico uma nota para a agilidade nos processos, que é direto com a matriz que faz as chamadas e consegue avaliar a satisfação com os custos e os valores dos produtos desse hotel. oito oito. tem contato com a administrativa e financeiro? sim. uma nota. nove. tem contato com o comercial executivo de vendas? não. pode pular mais três perguntas. não mais quatro perguntas. implantação se o senhor participou uma nota já participei da implantação. nas que eu participei oito. oito mais três perguntas. o programa que vocês estão usando atende a necessidade da empresa total atende parcial ou não atende aos modos que nós utilizamos hoje. isso no hotel atende total, parcial, total, total. uma nota para as atualizações oito. oito e a última pergunta para avaliar a unidade total de soluções. desculpa a pergunta. para avaliar a unidade totos cm net soluções que presta serviço para os hotéis tem contato? não, não ta bem. gostaria de comentar, deixar alguma reclamação ou sugestão? no momento não. também não. certinho? então é isso, é só confirmando que deixa eu ver se localiza seus dados e marco. marco. marco não localizei. me confirma só seu e-mail. campos arroba com.br ok. da controladoria certinho. então, de seis meses a um ano a gente volta a ligar para saber se está tudo bem e manter o relacionamento. obrigada, marco, ótima tarde. tchau."
2967409.wav,"olá! você ligou para a central de atendimento da cactus? seja muito bem vindo! informamos que a cactus não entra em contato com os clientes solicitando atualização cadastral. fique atento à segurança dos seus dados. você sabia que você também pode ser atendido pelo whatsapp da cactus? entre em contato através do número 11 39 zero zero 29 80 e ganhe tempo no seu atendimento. se você já é nosso cliente e quer falar sobre operações de plr, digite um. se você já é nosso cliente e quer falar sobre conta digital, digite dois. se você ainda não é nosso cliente, digite três. para outros assuntos, digite quatro. carlos, boa tarde, me chamo gabriela com quem falo. boa tarde gabriela, meu nome é viviane, eu falo aqui da matriz. tudo bem? tudo bem? eu gostaria, por favor, de falar com keila. então a senhora ligou na central de atendimento da cartos? sim, foi esse o telefone que me passaram para falar com a keyla regina, do administrativo. não. então aqui é a central de atendimento da cartos. aqui é assim com. entendi. você teria algum telefone dela para poder me passar? não teria? tá bom? obrigada."
2964398.wav,"natália, boa tarde. boa tarde natália e linda. tudo o senhor william se encontra sim. só um minutinho. obrigada. como é o seu dia? tem estilo? tem. no escritório, a companhia é com uniformes com qualidade e cobertos com design e exclusividade. não importa a sua produção. oi, bom dia! boa tarde lilia da totvs eu falo com william tudo bem? tudo, tudo bem? que ótimo o senhor william. sou do departamento voz do cliente da totvs. estou entrando em contato para fazer o nps, que é uma avaliação geral anual. o senhor tem dois minutos? pode. posso? pode. pode. pode ser? pode. pode ser. tá bem. só vou confirmar algumas informações. empresa com bec indústria e comércio de confecções, final do cnpj 1000 contra 18 e o e-mail william arroba com.br isso, isso, ok. iniciando de uma escala de 0 a 10, qual a probabilidade do senhor recomendar a marca a alguém hoje? no geral? dez. suporte técnico uma nota para a agilidade nos processos também. dez. dez e o atendimento em si dos agentes também é muito bom. e atendimento do executivo de vendas comercial? esse eu tenho menos contato, então não sei te dizer hoje porque eu praticamente não uso. mas quando eu precisei sempre foi muito bom, tá? então também pode colocar dessa. não é mais a mesma pessoa que me atende, mas que a anterior era era muito bom. ah, tá. e o senhor prefere dar nota dez mesmo ou pular? pode ser sim. não pode botar porque tá bom. ah, com relação aos custos e os valores, esse dói um pouco, eu diria um oito é bom, mas é pesado. uhum. ok. nota oito. atendimento da administrativa e financeiro. esse eu prefiro pular porque eu nunca tive contato assim com essa parte. certo, mais três perguntas. o programa que vocês estão usando atende a necessidade da empresa total ou parcial ou não atende? atende total? total uma nota para as atualizações a dez também que vem dez. isso é a última pergunta pra avaliar a unidade total. o serra gaúcha também. também nota dez. muito bom, certo? gostaria de comentar, deixar alguma sugestão? reclamação? elogio? não. tudo. tudo em ordem com vocês. aí tudo certo? então tá bom? então continue assim. obrigada senhor willian pela atenção. ano que vem retorna o contato de novo, tá? tenha uma ótima tarde. tchau, tchau. tchau. tchau."
