Nome do Arquivo,Tempo
2964235.wav,03:29:550
2964530.wav,03:29:980
2962625.wav,01:33:450
2874774.wav,05:00:420
2962074.wav,11:02:320
2967525.wav,01:41:190
2966819.wav,06:21:190
2964360.wav,06:43:830
2962649.wav,01:31:390
2874830.wav,05:52:930
2962417.wav,01:54:060
2966760.wav,05:23:650
2966019.wav,04:27:510
2963955.wav,05:55:210
2966177.wav,01:40:140
2967729.wav,02:08:780
2964672.wav,07:55:850
2966607.wav,02:04:460
2965821.wav,02:11:740
2961972.wav,09:23:180
2966180.wav,05:20:270
2966892.wav,03:03:730
2966719.wav,03:33:860
2965900.wav,01:57:520
2967703.wav,04:44:150
2966642.wav,03:29:500
2966316.wav,04:46:800
2967978.wav,05:54:940
2967070.wav,03:57:320
2965853.wav,01:43:500
2966138.wav,01:37:240
2967044.wav,02:52:050
2968540.wav,04:01:740
2968443.wav,03:43:500
2963504.wav,04:09:640
2966091.wav,05:23:940
2965622.wav,04:44:570
2967760.wav,04:44:670
2967836.wav,04:55:790
2966771.wav,02:13:840
2965051.wav,03:54:450
2962307.wav,08:36:400
2964496.wav,01:38:460
2963210.wav,02:16:950
2968585.wav,04:23:770
2962184.wav,02:28:290
2963371.wav,04:23:790
2962946.wav,02:33:240
2968125.wav,04:50:170
2964097.wav,01:40:310
2963977.wav,01:37:500
2963510.wav,01:58:410
2963764.wav,01:40:390
2964228.wav,02:32:710
2965023.wav,02:43:260
2962046.wav,02:57:250
2964126.wav,03:16:730
2964909.wav,02:28:870
2964578.wav,02:15:340
2962724.wav,07:10:980
2963847.wav,11:32:640
2962219.wav,04:44:510
2964611.wav,02:37:140
2962505.wav,03:18:470
2963930.wav,02:09:990
2967344.wav,01:40:360
2968175.wav,02:40:130
2967671.wav,03:56:860
2965935.wav,02:44:220
2966683.wav,01:36:640
2962972.wav,03:08:360
2967602.wav,03:00:300
2968468.wav,05:11:600
2967409.wav,01:34:390
2967576.wav,04:22:090
2968253.wav,02:37:940
2964398.wav,03:02:040
2966651.wav,02:46:940
2965979.wav,03:08:970
2967631.wav,07:38:600
